"Product Name";"Brand Name";"Price";"Rating";"Reviews";"Review Votes"
"[XMAS DEAL] Jethro [SC118] Simple Unlocked Quad-band GSM Senior & Kids Cell Phone, SOS Button, Easy to Use, Light Weight, Large Keyboard [New Firmware Edition]";"Jethro";59.99;5;"Purchased this phone for my parents who have difficulties with the small buttons on other phones. Thanks to the size of the buttons and the display, no more squinting! Also love that the keys are raised. Menu and layout also simple to use. The 5 programmable numbers makes it easy to just call their most frequently used numbers. Ringer volume is good. Would buy it again.";14
"4G-Unlocked Huawei Honor 6 5.0 TFT LTPS Screen 1920 x 1080 pixel 13.0MP Camare Android 4.4.2 Kirin 920 Octa-core Smartphone 3GB RAM+16GB ROM Dual SIM (white) - Intertiol Version No Warranty";"Huawei";161.06;5;"good phone with a top hardware and relative low price.";1
"5.0 Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold";"JUNING";89.99;5;" 5.0' Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3GCellphone Gold I am official a fan of Juning Phone. Not because i got in a special prize but this phone is really awesome! you wont regret having this phone. It functions like a a branded phone and really gives you a good use. the features of the phone are same like the branded phone we have. what i like most about this phone is there camera. the camera is really special and very clear once you capture a picture. another thing special about it, if you're a selfie addict like me you will definitely loved there camera. they have this feature in the camera that when you smile, the camera will automatically capture the image without touching the button! it is really cool! i was consume with it for an hour taking pictures of myself! when i first got the phone i only charged it for 2-3 hours and after that i used it, the battery last long. which is really good. Plus inside the box, it includes charger, headsets, a phone protector and screen protector. which is really cool! the screen is very wide. i enjoyed watching some movies and videos there. one thing i wanted to improve there is the phone storage. i hope it is more. but one thing another good about is you can extend the memory of your phone by putting a memory card on it. I really love this phone so much! i recommend this phone to all because it is really cool! it can be considered the best and be included in the branded phone that we have. you will not regret buying this phone because it is really awesome. i receive this product for free in exchange for my honest review.";1
"5.5 Cell Phones Unlocked Android 5.1 Quad Core Dual Sim-JUNING GSM/3G Smartphone White";"JUNING";99.99;1;"The item was not working at all";0
"5.5 Phone Unlocked Dual Sim Quad Core-JUNING Android 5.1 Cellphone Blue";"JUNING";99.99;4;" This phone is pretty neat. For the price, it’s impressive – especially because it is unlocked and can be used with any carrier that has a large SIM card. This phone does not support 4G LTE internet, but does support 3G. This only means that the internet is a tad slower than some other phones that support 4G. It operates much like other android/google phones that I have come into contact with. It features a quad core processor, 1GB RAM, a 2.0 megapixel front camera and 5.0 megapixel back camera. It also includes dual flash, one on the front and one on the back which is pretty impressive. Wifi is ebled and it can be run off the wifi at home if there is no SIM card currently available. The back of the phone is very flexible but thin so be careful taking the back off – there is a small piece of tape over the battery connector to make sure the battery is charged before use. There are currently no cases available for the phone so be careful when handling it, overall, I’m very happy with the phone. It does everything that I need it to do and is an affordable altertive to shopping at the store (where its more expensive). It supports many apps, its a mobile hotspot, Youtube, Facebook, emails, messaging, Bluetooth, music, and more!Pros:• Affordability• Functiolity (Wifi + Data)• Can be used on most carriers• Huge screen• Front and back flash• Quad core processor• Comes with a screen protector and clear case• Large font optionsCons:• Lack of cases and accessories for the phone• Camera quality could be improved• Support for 4G would be nice• Very slight sound distortion when using speakers all the way up for musicI would definitely repurchase this, it is perfect for my mother who uses her phone at work and to message on Facebook.I received this item for free in exchange for an honest, unbiased, and authentic review. I have thoroughly tested any product I review - I take pride in informing potential customers about the perks and flaws of products. I have no affiliation with the seller and am not obligated to leave a positive review.";2
"5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play)";;161.06;5;"good";0
"5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play)";;161.06;3;"Charge port went bad within a few months";0
"5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play)";;161.06;5;"Fine";0
"5.5-Inch Unlocked Lenovo A850 3G Smartphone-(960x540) Quad Core 4GB MT6582m 1331MHz Android 4.2 Dual Camera +Dual SIM -Black (Rooted + Google Play)";;161.06;1;"This product does not have any manual, instructions or warranty in English. Everything in the box is in chi. So you better learn Chi language if you are desperate to buy this smartphone";0
"Alcatel One Touch Fierce 2, 4GB, 5 Screen, Unlocked";"Alcatel";118.99;1;"Bought this supposedly unlocked phone for use when I travel to the Caribbean. Discovered today that it was 'bricked up' by T-Mobile. The following error message appeared on a black screen:'Security Error:This phone has been flashed with uuthorized software & is locked. Call your mobile operator for additiol support. Please note that repair/return for this issue may have additiol cost.'So, I am stuck with a useless phone and $109 poorer.";0
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 4.7 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";292.98;5;"excellent goods for me";0
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";129.0;4;"Like the phone a lot. Decent battery, fast enough, good stock Android. Can't beat the price for what you get.";1
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";129.0;5;"Can't beat this phone for the price! I replaced my Samsung Galaxy S5 and haven't looked back.My only complaint is the lack of removable battery, but luckily that hasn't been an issue yet.";0
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";129.0;5;"Throughout my lifetime, the prices on consumer electronics have dropped steadily as capability and quality rises. Smartphones have been an exception, largely because of the subsidy model, and something that acts as a good quality tablet but with data connection and the ability to make phone calls could easily run you close to $800. That puts this Alcatel Onetouch clearly in the budget category, despite being more expensive than a tablet or moderate sized television.These days many carriers are moving away from the subsidy model, and those who are looking for less expensive phones were stuck with ones that were far less capable. Alcatel has changed that with this phone. While it won't compete with the latest high end models on today's market, it has power and capability that even high end phones lacked even a few years ago. This 'unlocked' phone is technically a non-locked phone. It's not loaded with a slew of apps from a specific provider and even lets you get rid of some default apps that you may not want. An important thing for any device not tied to any specific carrier is compatibility. This phone covers all the bands needed for carriers such as AT&T or T-Mobile or any other that uses a SIM, and that includes 4G and LTE bands.It gives you 16GB of memory, with about 10GB available for user content. It also supports a microSD card, for up to 128GB more. It takes a micro SIM, which is fairly standard these days. It gives you a fast Octa-Core Qualcomm Spdragon 615 processor, which I found responsive. I haven't tested it with video games that are extremely CPU or graphically intensive, but for typical tasks there should be no lag. You get very good sound for built in speakers, and the phone works just as well when you flip it over, even for phone calls.The cameras are very good resolution for an inexpensive phone, and are better than what even high end ones had a few years ago. But you don't get any special frills or controls for exposure. You get a good 13MP camera and an 8MP front facing camera, both of which beat what you find on other inexpensive phones, and both can rival cameras on better phones for outdoor daylight photos. For low light situations, you will get adequate pictures but not at the level of high end devices. You also get 1080p video. One of the big advantages of the video button is that it starts taking video and stops taking video. On other cameras, it will switch you to video mode, but why? All that accomplishes is letting you share the shutter button, which offers little value and is especially awkward if you want to take landscape videos. With this phone, the video button is in a logical place for landscape video, there's no reason to switch modes, and your shutter button still works for still photos. That way you can take video much faster without waiting to switch modes, and the button will work for those holdouts who still insist on vertical videos.I haven't torture tested it, but the glass is supposed to be highly scratch resistant and more breakage resistant than for typical phones. The phone itself doesn't have the look or feel of a cheap phone. Phone screens have been growing larger, and this one gives you a 5.5 inch screen. Persolly I could make do with a smaller screen, but companies make phones with smaller screens that sacrifice capability in many other ways and Alcatel is no exception.A few things I don't like about the phone are that the battery isn't removable. That might not be a long term problem since battery life is pretty good. I also don't like the offset USB connector on the bottom since it makes it awkward to use the built in cradle in my car. This is a disadvantage compared to what works well for companies such as Samsung or Apple. The other thing that's apparently missing is WiFi calling for T-Mobile. Google now has a Hangouts dialer, which can accomplish the same thing and aside from caller ID not pointing to your primary number that could be a workaround.Other issues have to do with support. The phone has been out long enough now that the company should have phone-specific support information on its website, but it's still not there. This phone doesn't show up on the list on the support page. That means there are no downloads or phone specific FAQs. The phone comes with a Quick Start Guide, but no user manual and there's none on the website.UPDATE: There is still no link to a user manual on their website, but customer service was able to send me a URL for one. There are some features that need further explation and I was hoping that the user manual would cover them. For example, the status LED doesn't work like the one on other phones or have colors to indicate anything. The phone has a setting to turn it on or off. You'd expect the manual to tell you what the LED indicates, but all the manual says about that setting is 'Touch to turn on/off the LED indicator.' If you want to know how the time lapse feature for the camera works, the manual says 'Touch to eble Time-lapse' when describing the setting, but that's already obvious.Overall, you get a lot for your money. It may not be the highest end phone out there, but the big companies better look over their shoulders. It beats what they offer at this price point and I wouldn't be surprised if this company has something that is truly competitive with the competition's top of the line in the near future.";125
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";129.0;5;"For the prize its wonderfull";1
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)";"Alcatel";129.0;5;"Been using the Idol 3 as my daily driver over the past week and so far I'm very impressed. The Idol 3 has a bright high resolution screen, loud front facing speakers, good battery life, solid build quality and runs near stock Android. Also comes with JBL earbuds. I'd definitely recommend this phone to anyone looking for an unlocked smartphone for less than $300.";2
